Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1,Brenden Aaronson,USA,MFFW,Leeds United,Premier League,22,2000,11,11,924,10.3,0.1,1.26,0.39,30.8,0.08,0.25,19,0,0,0,24.3,32.7,74.2,356,103.8,14.2,17.3,82,6.8,8.64,78.7,1.94,3.98,48.8,0.1,2.23,1.55,0.68,0.19,1.84,32.7,29.3,3.4,0.68,0.1,6.02,0.58,1.17,1.75,0.87,0.78,0,23.8,3.79,5.15,3.5,27,0.87,0.39,0.49,24.3,0,0.49,1.36,1.36,3.3,2.14,0.58,0.19,0.1,0.1,0.19,0.29,0.1,0,0,0.1,0,0.1,2.04,1.36,0.58,0.97,0.49,0.78,2.33,33.3,1.55,21,6.7,31.9,3.98,9.03,7.96,1.46,0.1,0,1.36,0.1,2.14,0.19,0,46.9,0.49,5.34,22.5,22,3.01,43.8,1.75,3.11,56.3,1.94,0.49,34.3,165.8,91.1,4.37,1.26,0.29,1.94,3.88,45.9,32.2,70.2,6.7,0.19,0,0,0.68,2.72,0.29,1.17,1.36,0,0,0,6.99,0.49,3.11,13.5
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,12,12,1080,12,0,0.83,0,0,0,0,12.7,0,0,0,28.3,35.3,80.4,595.3,229.9,7.83,9.08,86.2,16.6,18.4,90,3.58,6.75,53.1,0,0.25,2.5,0.17,0,3.25,35.3,31.9,3.33,2.33,0,3.5,1.08,0.25,0,0,0,0,25.2,3,7.08,22.3,9.67,1.83,0.33,0.17,28.3,0.08,1,0.67,0.75,0.82,0.42,0,0,0.08,0,0.25,0,0,0,0,0,0,0,2.08,1.25,0.92,1,0.17,0.83,1.42,58.8,0.58,12.7,4.92,38.8,6.17,5.92,0.58,1.75,0.5,0,1.25,2.5,4.58,2.58,0,45.5,6.5,23.8,22.2,2.33,1.08,42.3,0.33,0.67,50,0.42,0,26.1,154.3,87.1,2.33,0.25,0,0.25,1,25.8,25.1,97.4,0.08,0.08,0,0,1.42,0.5,0.08,0.25,1.25,0,0,0,7.83,2,0.67,75
3,Himad Abdelli,FRA,MFFW,Angers,Ligue 1,22,1999,5,1,142,1.6,0,1.25,0.63,50,0,0,15.7,0,0,0,47.5,54.4,87.4,856.3,193.8,20,21.9,91.4,20.6,21.9,94.3,6.88,10,68.8,0,5,3.75,1.88,0,6.25,54.4,54.4,0,0,0.63,10,1.88,0,0,0,0,0,49.4,1.88,3.13,10,43.1,0.63,0,0,47.5,0,0.63,1.25,0.63,5,4.38,0,0,0.63,0,0,0,0,0,0,0,0,0,2.5,1.88,0.63,1.88,0,0.63,0.63,100,0,12.5,2.5,20,0.63,10,1.88,0,0,0,0,0.63,3.13,0,0,65.6,0.63,11.3,41.9,23.8,1.88,65.6,1.25,3.13,40,1.25,0,55,384.4,223.8,12.5,5,0.63,0.63,1.88,56.9,51.9,91.2,6.25,0,0,0,1.25,2.5,0,0,1.88,0,0,0,10,0.63,3.13,16.7
4,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,12,12,1079,12,0.08,0.5,0.08,16.7,0.17,1,22,0,0,0,55,60,91.7,955.3,178.2,25.4,27.3,93,23.5,24.9,94.3,5.17,6.5,79.5,0,0.42,3.83,0.67,0.08,3,60,58.3,1.67,1.67,0.08,6.58,1.17,0.42,0,0,0,0,51.5,4.08,4.42,5.83,51,2.33,0,0.33,55,0.33,0.42,0.75,0.42,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0.92,0.58,0.92,0.17,0.58,1.33,43.8,0.75,18.7,4.75,25.4,6.25,9.58,2.83,1.33,0.33,0,1,2.25,3.92,1.08,0,69.3,2.17,14,48.2,10.7,0.75,68.1,0.83,1.08,76.9,0.83,0.08,49.6,224.2,94,3.17,0.75,0.08,0.92,1.33,55.4,52.9,95.5,1.58,0.08,0,0,2.75,1.5,0,0.42,0.92,0,0,0,8,0.58,0.75,43.8
5,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,10,10,807,9,0,0.44,0,0,0,0,22.6,0,0,0,38.9,43,90.4,675.2,215.7,18.3,18.9,97.1,15.7,17,92.2,4.11,5.44,75.5,0.11,0.67,3.67,0.22,0,2.78,43,42.3,0.67,0.67,0.33,8.11,0.56,0.11,0,0,0,0,35.8,3.89,3.33,2.78,39.1,0.78,0,0,38.9,0.11,0.44,0.44,0.56,1.33,1,0,0.11,0.11,0,0.11,0.11,0.11,0,0,0,0,0,3.56,2.33,2.78,0.78,0,1,3.56,28.1,2.56,16.8,4.78,28.5,9.78,6.22,0.78,1.33,0.22,0,1.11,1.44,5,1.78,0,53.7,4,21,29.4,5.11,0.11,53,0.44,0.78,57.1,0.56,0,37,115.3,55.6,1.78,0.56,0.11,0.89,0.89,38.9,37.2,95.7,0.44,0.22,0,0,1.33,1.22,0,0.11,2.33,0,0,0,6.67,0.56,0.44,55.6
6,Matthis Abline,FRA,FWMF,Rennes,Ligue 1,19,2003,9,0,101,1.1,0.91,5.45,1.82,33.3,0.17,0.5,10.9,0,0,0,5.45,12.7,42.9,78.2,26.4,4.55,5.45,83.3,0.91,2.73,33.3,0,0,0,0,1.82,0,0.91,0.91,0,12.7,12.7,0,0,0,4.55,0,3.64,0,0,0,0,10,1.82,0.91,3.64,8.18,0,0,0,5.45,0,0,0,2.73,6.36,1.82,0,0,2.73,0.91,0.91,1.82,0,0,0,0,0.91,0.91,1.82,0.91,0,0,1.82,0.91,1.82,50,0.91,21.8,8.18,37.5,0.91,10.9,10,0.91,0,0,0.91,1.82,3.64,0.91,0,39.1,0.91,2.73,12.7,25.5,15.5,39.1,0,0.91,0,0.91,0,20,90.9,71.8,5.45,0.91,1.82,10,0,41.8,24.5,58.7,10,0,0,0,2.73,2.73,0.91,3.64,0.91,0.91,0,0,6.36,2.73,2.73,50
7,Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,22,2000,12,11,945,10.5,0.29,2.57,0.95,37,0.11,0.3,16.9,0,0,0,17.5,25.5,68.7,228.7,56.5,12.7,15.5,81.6,3.9,6.19,63.1,0.48,1.24,38.5,0.29,0.67,0.67,0.48,0.1,1.43,25.5,24.9,0.67,0,0,3.9,0.1,1.81,0,0,0,0,19.6,3.43,2.48,16.2,7.52,0.67,0.67,0.1,17.5,0.1,0.95,1.52,1.62,2,1.14,0.1,0.1,0.1,0.48,0.1,0.29,0.29,0,0,0,0,0,1.33,0.86,0.57,0.29,0.48,0.38,1.71,22.2,1.33,13.3,3.24,24.3,2.95,4.57,5.81,0.67,0.1,0,0.57,1.05,2.38,0.57,0,40,0.95,5.9,14.3,22.2,6.38,39.3,1.24,3.43,36.1,1.52,0.29,30.3,151.7,84.3,5.52,0.95,1.81,2.95,1.62,42.2,29.7,70.4,8.48,0.19,0,0,1.43,1.62,0.57,1.81,0.86,0,0,0,4.57,0.76,1.33,36.4
8,Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,11,9,768,8.5,0.24,3.29,1.29,39.3,0.07,0.18,11.8,0,0,0,13.3,18.5,72,213.3,50.7,7.06,8.94,78.9,4.82,6.71,71.9,1.06,1.41,75,0.12,1.18,1.29,0.47,0.12,1.76,18.5,16.7,1.76,0,0.35,6,0.24,0.24,0,0,0,0,9.76,4.47,4.24,1.41,11.1,2,0.12,1.29,13.3,0.12,0.47,0.59,0.71,3.29,1.76,0,0.24,0.94,0.35,0,0.47,0.12,0,0,0.24,0.12,0,0.59,0.24,0.24,0.12,0.24,0,0.47,0,0.47,9.88,1.76,17.9,0.82,3.53,5.53,1.06,0.47,0,0.59,0.35,0.94,0.71,0,33.5,0.82,2.59,17.5,14.6,6.12,31.8,0.59,2.12,27.8,0.94,0.35,16.4,68.8,39.6,2.12,0.35,0.82,3.53,1.88,44.2,24.8,56.1,6.82,0,0,0,1.18,2.35,0.47,0.24,0.24,0.12,0,0,3.41,3.53,2.94,54.5
9,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,5,5,438,4.9,0,0.2,0,0,0,0,9,0,0,0,59.8,67.1,89.1,1257.3,309.8,18.2,19.4,93.7,32.4,34.9,93,8.78,12.2,71.7,0,0.2,2.45,0.2,0,2.86,67.1,63.9,3.27,1.84,0,7.14,2.24,0,0,0,0,0,51.6,3.47,12,51,10.6,2.04,0.61,0.2,59.8,0,1.22,0.41,0.2,0.61,0.61,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0.61,1.02,0,0,0.2,0.2,100,0,4.08,1.22,30,1.84,2.04,0.2,1.22,0.41,0,0.82,0.61,1.63,4.29,0,74.9,11.6,40.8,36.3,2.86,0.41,71.6,0,0,0,0,0,50.2,283.7,135.7,3.27,0.82,0,0.2,0,55.5,53.9,97.1,0.2,0.2,0,0,0.82,0.41,0,0,0.61,0,0,0,9.8,4.08,1.02,80
10,Mohamed Achi,FRA,MF,Nantes,Ligue 1,20,2002,2,0,36,0.4,0,2.5,0,0,0,0,25,0,0,0,47.5,55,86.4,767.5,260,22.5,22.5,100,22.5,27.5,81.8,2.5,5,50,0,2.5,2.5,0,0,5,55,52.5,2.5,0,0,2.5,0,0,2.5,0,2.5,0,47.5,2.5,5,47.5,7.5,0,0,0,47.5,0,0,2.5,0,5,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,0,0,2.5,2.5,100,0,20,5,25,2.5,10,7.5,0,0,0,0,5,7.5,0,0,65,0,15,32.5,27.5,0,62.5,7.5,7.5,100,7.5,0,62.5,295,202.5,7.5,2.5,0,0,5,55,50,90.9,2.5,0,0,0,5,0,0,0,2.5,0,0,0,5,0,0,0
11,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,8,6,474,5.3,0,1.32,0,0,0,0,26.3,0.19,0,0,46.2,64,72.3,994.7,434.7,18.7,22.3,83.9,16.4,21.5,76.3,10.6,17.9,58.9,0,2.45,1.89,1.32,0.75,3.96,64,49.4,14.5,3.77,0,4.72,5.28,4.15,2.64,0.94,1.51,0,31.5,12.3,20.2,45.3,7.17,2.26,8.11,0,46.2,0.19,1.7,3.21,2.08,3.21,1.7,1.32,0,0.19,0,0,0,0,0,0,0,0,0,3.4,2.83,1.89,1.51,0,1.7,2.45,69.2,0.75,14.2,4.53,32,6.42,6.23,1.51,1.32,0.38,0.19,0.94,1.51,4.91,1.7,0,74.5,3.77,25.7,33.8,18.1,1.13,60.6,1.13,2.08,54.5,1.13,0.19,43.2,194,103.2,3.96,1.51,0,1.51,0.38,46.2,43.2,93.5,2.45,0.57,0.19,0,2.45,1.89,0,4.15,2.83,0,0.19,0,8.49,2.08,1.13,64.7
12,Che Adams,SCO,FW,Southampton,Premier League,26,1996,11,9,823,9.1,0.33,2.09,0.99,47.4,0.16,0.33,13,0,0,0,15.1,21.6,69.5,264.3,42.1,7.47,11.2,66.7,4.62,5.6,82.4,2.2,2.75,80,0.11,1.32,0.66,0.44,0.22,0.99,21.6,20.4,1.21,0,0,4.95,1.1,1.1,0,0,0,0,11.4,5.71,4.51,0.66,15.5,1.76,0.22,0.77,15.1,0,0.22,1.1,1.1,1.98,1.32,0.11,0.11,0.33,0.11,0,0.11,0.11,0,0,0,0,0,0.88,0.55,0.22,0.44,0.22,0.22,0.55,40,0.33,10.7,2.97,27.8,1.1,5.05,4.51,0.66,0.22,0,0.44,0.22,1.1,1.54,0,34.5,1.76,3.3,14.1,18.7,5.6,33.3,1.1,1.43,76.9,1.1,0.11,20.4,76.6,32.9,1.43,0.44,0.55,3.63,1.32,46.6,24.7,53.1,6.15,0,0,0,2.09,1.76,0.22,1.1,0.55,0,0,0,3.74,3.52,6.81,34
13,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,10,10,900,10,0,0.2,0,0,0,0,29.1,0,0,0,48.2,57.8,83.4,809.9,219.3,23.3,26.3,88.6,20.1,23.9,84.1,3.8,5.8,65.5,0,1.2,4.1,0.4,0,4.7,57.8,54.3,3.5,2.8,0,5.5,0.5,0.1,0,0,0,0,43.4,4.7,9.7,8.3,44.2,3.8,0.7,0,48.2,0,1,1.7,0.9,1.8,1.7,0,0.1,0,0,0,0,0,0,0,0,0,0,3.6,2.1,1.7,1.6,0.3,1.9,3.1,61.3,1.2,21,7.3,34.8,6.3,12.1,2.6,2.3,0.4,0,1.9,0.9,4.5,0.8,0,68,1.3,15.5,44.6,11.4,0.2,64.8,0.3,0.4,75,0.3,0,38.8,174.4,87.2,4,1,0,1.2,0.8,43.6,40.5,92.9,0.8,0.2,0,0,2.1,1,0,0.1,2.1,0,0,0,14.7,0.8,0.7,53.3
14,Sargis Adamyan,ARM,FWMF,Köln,Bundesliga,29,1993,10,1,270,3,0.33,2.33,1.33,57.1,0.14,0.25,12,0,0,0,19.7,26.3,74.7,332.3,91,9.67,12,80.6,7.67,10,76.7,2,3,66.7,0,2,0.67,2.33,0.67,3.33,26.3,23.7,2.67,0,0,4.33,0.33,1.67,0,0,0,0,16.7,5.33,4.33,5,17,0.67,1.67,0.67,19.7,0.33,0,2,1,4,3,0,0,0.67,0.33,0,0.33,0,0,0,0.33,0,0,1.33,0.33,0.33,0.67,0.33,0.67,3,22.2,2.33,27,9,33.3,5,11.7,10.3,1,0,0,1,0,1.33,0.33,0,42,0.33,4.33,17.3,22.7,8.67,39.3,0.67,2.33,28.6,0.67,0,28.7,112.7,45,3.33,1,1.33,2,5.67,43.7,28.7,65.6,7.33,0.33,0,0,3.67,0.67,1,1.67,0.33,0,0,0,6,1.33,3,30.8
15,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,10,10,900,10,0.1,0.3,0.1,33.3,0.33,1,10.2,0,0,0,37.9,46.7,81.2,878.1,268,7.4,8.9,83.1,23,25.8,89.1,7.3,11.4,64,0,0.1,2.6,0.1,0,2.6,46.7,45,1.7,1.2,0,4.7,1,0,0,0,0,0,32.5,3.4,10.8,3.1,37.7,3.2,0.4,0,37.9,0.4,1,0.7,0.4,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.7,0.9,0.3,0,0.2,0.6,33.3,0.4,3.8,1,26.3,2.1,1.5,0.2,1.1,0.8,0,0.3,1.8,3,6.3,0.1,57.4,11.2,30.3,28.2,1.5,0.4,55.7,0.3,0.3,100,0.3,0,29.8,159.4,90.8,2.3,0.3,0,0.2,0.1,35.1,34.6,98.6,0.1,0,0,0,0.7,0.2,0,0,0.7,0,0,0,8.6,3.7,0.8,82.2
16,Martin Adeline,FRA,MF,Reims,Ligue 1,18,2003,4,0,93,1,0,1,0,0,0,0,24,0,0,0,20,30,66.7,237,50,14,18,77.8,4,6,66.7,0,1,0,0,0,0,0,0,0,30,27,3,1,0,10,0,0,1,0,0,0,19,8,3,6,19,1,1,0,20,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,1,0,1,25,7,28,11,11,3,2,1,0,1,4,7,2,0,45,2,18,14,15,3,42,2,3,66.7,3,0,24,136,87,1,1,0,3,2,29,22,75.9,2,1,0,0,4,0,0,0,2,0,0,0,8,3,2,60
17,Karim Adeyemi,GER,FW,Dortmund,Bundesliga,20,2002,7,5,318,3.5,0,2.86,1.71,60,0,0,16.9,0,0,0,27.4,36.9,74.4,426.9,138.3,16,20.9,76.7,8.57,9.14,93.8,2.29,4.86,47.1,0,2.29,0.86,2.29,0.86,3.14,36.9,34.6,2.29,0.29,0,7.14,0.86,2,1.43,1.43,0,0,27.7,4,5.14,18,17.4,0.29,0.57,0,27.4,0,0.57,1.43,1.43,4.57,3.14,0,0.57,0.57,0.29,0,0.86,0.57,0,0,0.29,0,0,0.86,0.57,0.57,0.29,0,0.86,2.57,33.3,1.71,15.7,5.43,34.5,3.43,7.71,4.57,2.29,0,0,2.29,0.86,1.71,0.86,0,52.6,1.14,6.29,19.4,30.9,5.14,50.6,2,3.43,58.3,2,0.29,39.7,189.7,110.3,4.29,2.57,0.57,2.86,2,47.4,37.7,79.5,11.1,0.86,0,0,0.86,1.43,0,2,0.57,0,0,0,6.29,0.86,1.14,42.9
18,Amine Adli,FRA,FW,Leverkusen,Bundesliga,22,2000,4,1,166,1.8,0,1.11,1.11,100,0,0,10.9,0,0,0,27.2,31.7,86,436.1,122.8,15.6,17.8,87.5,9.44,11.1,85,1.67,1.67,100,0.56,1.11,1.67,1.67,0.56,4.44,31.7,30.6,1.11,0.56,0.56,8.89,0.56,1.11,0,0,0,0,26.7,2.78,2.22,23.9,5.56,0.56,0.56,0.56,27.2,0,0,0.56,0.56,2.22,1.67,0,0,0,0,0.56,0.56,0.56,0,0,0,0,0,0.56,0.56,0,0.56,0,0,1.11,0,1.11,23.3,8.33,35.7,5.56,10,7.78,2.78,0.56,0,2.22,0.56,1.11,0,0,45.6,0,7.22,26.1,14.4,3.33,44.4,1.11,3.33,33.3,1.11,0,32.2,193.3,115.6,5.56,1.67,0,1.67,2.22,42.8,31.7,74,7.78,0,0,0,3.33,2.78,0.56,1.11,0.56,0,0,0,7.78,0.56,1.67,25
19,Yacine Adli,FRA,MF,Milan,Serie A,22,2000,4,1,116,1.3,0,1.54,1.54,100,0,0,17.6,0,0,0,33.8,48.5,69.8,675.4,227.7,14.6,17.7,82.6,13.1,17.7,73.9,6.15,10,61.5,0,1.54,5.38,0,0,5.38,48.5,46.2,2.31,0.77,0.77,1.54,2.31,1.54,0.77,0,0.77,0,30.8,8.46,9.23,3.85,40.8,3.08,0.77,0,33.8,0,0,2.31,4.62,2.31,1.54,0.77,0,0,0,0,0,0,0,0,0,0,0,2.31,1.54,0.77,1.54,0,0.77,1.54,50,0.77,31.5,6.92,22,5.38,16.9,9.23,0.77,0,0,0.77,0,2.31,0.77,0,57.7,1.54,4.62,33.8,23.1,0.77,55.4,0,0,0,0,0,35.4,203.8,102.3,3.85,2.31,0,1.54,1.54,53.1,44.6,84.1,9.23,0.77,0,0,2.31,0.77,0,1.54,1.54,0,0,0,6.15,0,3.08,0
20,Michel Aebischer,SUI,MFFW,Bologna,Serie A,25,1997,10,4,439,4.9,0,1.63,0.2,12.5,0,0,18.3,0.2,0,0,23.3,26.9,86.4,374.1,104.9,12.2,12.9,95.2,8.98,10.6,84.6,1.63,2.24,72.7,0,0.61,1.22,0,0,1.43,26.9,26.3,0.61,0.2,0,6.33,1.02,0.61,0.2,0,0.2,0,20.8,3.06,3.06,4.08,22.2,0.41,0.2,0,23.3,0.2,0.2,0.2,0.82,2.31,1.22,0.2,0.2,0.2,0,0,0.2,0,0,0,0.2,0,0,0.82,0.82,0.41,0,0.41,0,0.41,0,0.41,14.3,4.08,28.6,4.9,6.33,3.06,1.22,0.2,0,1.02,0.41,1.22,1.02,0,34.5,1.43,7.14,19,10.2,1.43,33.7,0.41,0.41,100,0.41,0,23.3,83.5,35.5,1.43,0.61,0,0.82,0.61,29.6,25.3,85.5,2.04,0.2,0,0,1.02,1.84,0.41,0.61,0.82,0,0,0,4.08,0.61,1.43,30
21,Felix Afena-Gyan,GHA,FWMF,Cremonese,Serie A,19,2003,4,1,134,1.5,0,1.33,0,0,0,0,14.3,0,0,0,12.7,14,90.5,204.7,42.7,8,8,100,3.33,4,83.3,1.33,2,66.7,0,0.67,0.67,0,0,1.33,14,14,0,0,0,6,0,0,0,0,0,0,10,3.33,0.67,0.67,12,0,0,0,12.7,0,0,0,0,1.33,0.67,0,0,0.67,0,0,0,0,0,0,0,0,0,2,0.67,1.33,0.67,0,0.67,0.67,100,0,24,6,25,4.67,15.3,4,0,0,0,0,0.67,2.67,0,0,26,2,6.67,10,11.3,4,26,0.67,1.33,50,0.67,0,19.3,105.3,55.3,2.67,0.67,0.67,1.33,3.33,29.3,14.7,50,3.33,0.67,0,0,2,1.33,1.33,0,0.67,0,0,0,6.67,1.33,9.33,12.5
22,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,10,9,789,8.8,0,0.68,0.23,33.3,0,0,16.6,0,0,0,38.3,44.7,85.8,877.3,291,10.9,11.7,93.2,18.8,20.5,91.7,8.3,11.8,70.2,0,0.34,2.16,0.45,0,2.16,44.7,41.4,3.3,2.95,0.23,2.84,1.25,0,0,0,0,0,34.3,3.07,7.27,4.43,37.7,1.36,0.23,0.11,38.3,0,0.68,0.34,0.45,0.8,0.57,0.11,0,0.11,0,0,0,0,0,0,0,0,0,2.5,1.25,1.7,0.68,0.11,1.25,1.82,68.8,0.57,10,3.75,37.5,5.68,4.09,0.23,1.7,0.57,0,1.14,2.05,4.55,4.43,0.23,56.6,10.1,35,23.1,2.27,0.57,53.3,0.34,0.45,75,0.45,0,33.4,182,87.3,1.59,0.34,0.11,0.57,0.23,32.3,31.4,97.2,0.23,0.23,0.23,0,1.59,0.57,0,0,1.25,0,0,0,10,1.48,1.25,54.2
23,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,3,2,106,1.2,0,0,0,0,0,0,0,0,0,0,40.8,49.2,83.1,727.5,134.2,18.3,20,91.7,18.3,21.7,84.6,4.17,5.83,71.4,0,1.67,2.5,1.67,0.83,3.33,49.2,46.7,2.5,1.67,0,5,0.83,1.67,0,0,0,0,38.3,3.33,7.5,13.3,32.5,0.83,0.83,0,40.8,0,0,0.83,0.83,1.67,1.67,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.83,0.83,1.67,0,0.83,1.67,50,0.83,15,3.33,22.2,5.83,5.83,3.33,4.17,0.83,0,3.33,1.67,4.17,1.67,0,58.3,2.5,13.3,29.2,18.3,0,56.7,0.83,1.67,50,0.83,0,40.8,223.3,96.7,6.67,1.67,0,0,0,43.3,40.8,94.2,0.83,0.83,0,0,4.17,0.83,0.83,1.67,0.83,0,0,0,6.67,2.5,0,100
24,Felix Agu,GER,DF,Werder Bremen,Bundesliga,23,1999,2,0,41,0.5,0,2,0,0,0,0,14.9,0,0,0,32,36,88.9,796,384,8,8,100,14,14,100,10,14,71.4,0,0,4,0,0,2,36,28,8,0,0,4,2,0,0,0,0,0,16,8,12,2,26,0,8,0,32,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,9.1,6,14,2,4,2,0,2,0,0,0,0,58,2,18,24,16,4,50,0,2,0,0,0,38,98,54,4,0,0,4,4,30,28,93.3,4,0,0,0,6,4,0,0,0,0,2,0,14,0,4,0
25,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,10,7,586,6.5,0,0.62,0,0,0,0,23.6,0,0,0,40.6,48.2,84.3,870.6,204,14.6,16.9,86.4,16.3,18.8,86.9,9.23,11.1,83.3,0.31,1.69,4.92,0.31,0.15,4.46,48.2,45.7,2.46,1.54,0.15,4.46,3.54,0.77,0.77,0,0.62,0.15,32.5,5.85,9.85,3.54,41.1,2.77,0.15,0.31,40.6,0,0.77,0.77,1.08,4.15,3.85,0.31,0,0,0,0,0.77,0.46,0.31,0,0,0,0,0.92,0.77,0.15,0.77,0,0.15,0.46,33.3,0.31,6.15,2.46,40,1.85,3.85,0.46,1.54,0.46,0,1.08,0.92,1.85,0.92,0,54.9,1.85,12.8,32.9,14.2,1.08,52.5,0.46,0.77,60,0.46,0,37.7,300.5,127.2,6.31,1.08,0.15,0.46,0.46,41.2,38.2,92.5,1.38,0.15,0,0,0.92,1.08,0,0.77,0.77,0,0.15,0,8.92,0.46,0.92,33.3
26,Kevin Agudelo,COL,MFFW,Spezia,Serie A,23,1998,11,7,650,7.2,0,1.25,0.28,22.2,0,0,21.5,0,0,0,21.9,30.1,72.8,349,102.5,11.5,14.7,78.3,7.08,9.17,77.3,1.67,3.06,54.5,0,0.42,2.36,0.56,0,3.47,30.1,29.2,0.97,0.14,0,7.08,0.69,0.69,0.28,0,0.28,0,21.5,3.89,4.72,24.3,3.19,1.39,0.14,0.28,21.9,0.42,0.28,0.97,1.67,1.53,0.69,0.14,0.14,0.28,0.14,0.14,0,0,0,0,0,0,0,2.92,1.25,1.25,1.11,0.56,0.97,3.19,30.4,2.22,23.9,6.53,27.3,5.97,12.5,5.42,2.08,0.14,0,1.94,1.11,4.03,0.14,0,43.9,0.97,7.78,23.3,16.9,1.94,42.9,1.94,2.64,73.7,2.08,0.14,31.5,197.1,127.4,5.69,2.36,0.69,1.94,2.78,34.6,27.6,79.9,4.17,0.28,0,0,2.22,1.67,0.14,0.69,1.25,0,0,0,7.5,0.97,1.53,38.9
27,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,6,4,318,3.5,0,0,0,0,0,0,0,0,0,0,50.6,63.1,80.1,865.4,389.4,24.9,29.1,85.3,21.1,23.4,90.2,4.29,8.57,50,0,0,4.29,1.71,0.29,5.14,63.1,52.9,10.3,0.29,0,6.29,0.57,0.86,0,0,0,0,36,13.1,14,1.14,48.3,2.86,10,0,50.6,0,0.29,2.29,2.29,0.29,0.29,0,0,0,0,0,0,0,0,0,0,0,0,2.29,1.71,1.43,0.57,0.29,0.29,2.86,10,2.57,12,3.43,28.6,5.71,4.29,2,0.29,0,0,0.29,1.71,4,3.43,0,72.3,4.57,20,34.6,19.7,1.14,62.3,0.86,1.43,60,0.86,0,42.3,144.3,72.6,4.29,1.43,0,0.57,0.57,48.9,44.9,91.8,0.57,0.29,0,0,1.43,0.86,0,0.86,1.71,0,0,0,8.57,0.86,1.43,37.5
28,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,11,11,874,9.7,0.21,0.82,0.31,37.5,0.25,0.67,21,0,0,0,25.3,30,84.2,413.6,87.9,13.2,14.5,90.8,10.1,10.9,92.5,1.65,2.99,55.2,0,0.72,2.27,0.41,0.1,2.47,30,29.5,0.52,0.21,0,5.36,0.1,0.41,0,0,0,0,24.2,2.99,2.78,3.61,24.5,0.82,0.21,0.21,25.3,0.1,0.52,0.72,1.03,2.06,1.86,0,0,0.1,0,0.1,0.31,0.31,0,0,0,0,0,1.13,0.52,0.52,0.41,0.21,0.31,1.03,30,0.72,12.3,3.3,26.9,4.33,4.43,3.51,1.24,0.21,0,1.03,1.03,2.16,0.62,0,41,1.03,9.9,24.1,11.3,1.65,40.5,1.24,2.89,42.9,1.44,0,31.1,230.7,122,5.05,2.27,0.62,1.96,0.62,32.1,27.6,86.2,3.09,0.21,0,0,1.13,1.55,0.1,0.41,0.52,0,0,0,7.22,0.93,1.34,40.9
