Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1158,Filip Kosti?,SRB,FWDF,Juventus,Serie A,29,1992,11,9,751,8.3,0.12,1.33,0.36,27.3,0.09,0.33,17.5,0,0,0,30,42.9,69.9,549.8,196.6,13.4,16.9,79.3,12.9,16.1,79.9,3.13,7.35,42.6,0.36,2.41,2.65,2.41,1.81,4.1,42.9,39,3.86,0.24,0,3.61,2.17,6.14,1.81,0.24,1.33,0.12,28.1,6.63,8.19,37.7,2.53,0.6,1.81,0,30,0.24,0.48,1.2,2.89,3.49,2.89,0.36,0.12,0.12,0,0,0.48,0.36,0,0,0.12,0,0,0.96,0.48,0.6,0.12,0.24,0.24,1.08,22.2,0.84,14.7,3.86,26.2,4.58,6.75,3.37,1.69,0.12,0,1.57,0.84,1.81,0.84,0,52.2,1.08,5.9,21.9,27.6,2.41,48.3,0.72,0.96,75,0.84,0,38.6,202.5,121.1,6.39,2.17,0.84,1.69,1.2,42.7,36.3,85,5.18,0.12,0,0,1.81,0.48,0,6.14,0.48,0,0,0,6.75,0.24,0.6,28.6
1159,Christian Kouamé,CIV,FWMF,Fiorentina,Serie A,24,1997,10,9,755,8.4,0.24,1.67,0.6,35.7,0.14,0.4,12.4,0,0,0,24.9,34.6,71.8,426.3,87.6,13.3,16.8,79.4,8.69,12.3,70.9,2.5,3.93,63.6,0.24,2.5,0.95,1.31,0.83,1.79,34.6,33.5,1.19,0,0,6.79,1.19,3.1,0,0,0,0,22,5.83,6.79,4.29,25.2,1.55,0.95,0.24,24.9,0.12,0.6,1.31,1.19,4.52,3.57,0,0.48,0,0.48,0,0.6,0.48,0,0.12,0,0,0,1.07,0.48,0.12,0.6,0.36,0.12,0.71,16.7,0.6,11.3,3.57,31.6,1.43,4.29,5.6,1.19,0.24,0,0.95,1.07,2.14,0.12,0,49.8,0.12,3.57,18.5,30.5,5.83,48.6,1.79,3.81,46.9,1.9,0.12,35.1,136.2,77.9,4.88,0.83,1.07,3.69,2.5,44.8,37.3,83.2,9.4,0.24,0,0,1.9,3.21,0.12,3.1,0.48,0.12,0,0,7.26,3.45,2.98,53.7
1160,Rominigue Kouamé,MLI,MF,Troyes,Ligue 1,25,1996,11,11,976,10.8,0,1.11,0.19,16.7,0,0,20.5,0,0,0,41.5,47.1,88,800.6,189.4,16.6,18,92.3,19.7,21.8,90.6,4.91,6.57,74.6,0.09,1.2,4.26,0.37,0.28,4.44,47.1,46.5,0.65,0.65,0.19,4.91,1.3,0.46,0,0,0,0,41.1,2.5,3.52,39.8,5.65,1.11,0,0.09,41.5,0.19,0.93,1.39,0.46,2.41,2.13,0,0,0,0.09,0.19,0.19,0.19,0,0,0,0,0,0.93,0.74,0.37,0.37,0.19,0.28,0.93,30,0.65,12.8,2.69,21,5.37,5.93,1.48,1.57,0.46,0,1.11,2.87,3.8,0.93,0,58.3,3.15,17.2,36.1,11,0.93,57.8,1.3,1.94,66.7,1.3,0.09,44,293.3,163.2,6.39,2.13,0.28,0.93,1.39,44.4,41,92.5,1.67,0.19,0,0,1.48,2.22,0,0.46,0.74,0,0,0,8.89,0.56,0.46,54.5
1161,Tomáš Koubek,CZE,GK,Augsburg,Bundesliga,30,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,25.7,41.3,62.1,1117.7,778.7,1.67,1.67,100,8,8,100,15.7,31.3,50,0,0.33,3,0,0,0,41.3,28.7,12.7,3.67,0,4,2,0,0,0,0,0,14,1,26.3,7,28.3,0,0,3,25.7,0,0.67,0,0.33,0.67,0.67,0,0,0,0,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,38.7,45.7,0.33,0,0,33.3,0,0,0,0,0,22,165,112.3,0,0,0,0,0,20,20,100,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
1162,Kalidou Koulibaly,SEN,DF,Chelsea,Premier League,31,1991,8,7,652,7.2,0.14,0.97,0.42,42.9,0.14,0.33,12.3,0,0,0,66.1,75.7,87.3,1376.1,488.1,22.8,24.7,92.1,31.7,34.3,92.3,11.3,15.6,72.3,0,0.28,7.36,0.56,0.14,5.56,75.7,72.5,3.19,1.94,0.14,5.83,2.78,0.56,0,0,0,0,59,5.14,11.5,24.6,45.8,1.81,1.25,0.83,66.1,0,1.94,0.97,0.69,0.83,0.69,0,0,0,0,0.14,0.28,0.28,0,0,0,0,0,2.36,1.39,2.08,0.14,0.14,0.83,2.08,40,1.25,8.61,3.47,40.3,5.28,2.78,0.56,1.94,0.42,0,1.53,1.53,3.89,4.03,0,86,7.64,35.7,48.2,5.97,1.11,82.9,0.14,0.14,100,0.14,0,56.4,255.7,131.4,3.47,1.25,0,0.14,0.14,61.3,61,99.5,0,0.42,0.14,0.14,1.25,0.42,0,0.56,1.39,0,0,0,11.3,2.64,0.97,73.1
1163,Jules Koundé,FRA,DF,Barcelona,La Liga,23,1998,6,6,499,5.5,0,0.55,0,0,0,0,12,0,0,0,69.3,75.5,91.8,1433.8,434.5,24,25.5,94.3,31.6,33.3,95.1,12.7,14.5,87.5,0.36,0.91,9.27,0.73,0.18,4.73,75.5,70.5,4.91,1.64,0.18,4.18,3.09,0.73,0,0,0,0,61.5,7.09,6.91,8,61.3,1.45,3.27,0.18,69.3,0,0.91,0.91,1.09,2,2,0,0,0,0,0,0.36,0.36,0,0,0,0,0,0.91,0.73,0.36,0.55,0,0.55,0.55,100,0,5.64,2.36,41.9,2.18,2.18,1.27,1.27,0.55,0.18,0.73,0.73,1.64,0.55,0,81.3,4.18,25.5,50.4,13.8,1.82,76.4,0.18,0.55,33.3,0.18,0,57.5,369.1,239.5,7.45,3.09,0.18,0.55,0.36,64.5,62.9,97.5,1.45,0,0,0,0.91,0.18,0,0.73,0.73,0,0,0,8.55,1.45,0.73,66.7
1164,Cheikhou Kouyaté,SEN,MFDF,Nott'ham Forest,Premier League,32,1989,9,6,489,5.4,0.19,0.93,0.93,100,0.2,0.2,15.8,0,0,0,23.9,29.6,80.6,439.6,96.7,10.2,12,84.6,9.63,11.1,86.7,3.33,5,66.7,0,0.74,1.67,0.19,0,1.67,29.6,28.9,0.74,0.74,0,5.19,0.93,0.19,0,0,0,0,21.5,3.15,5,3.7,22.2,1.85,0,0.37,23.9,0.19,0.74,0.37,0.74,1.11,0.93,0,0.19,0,0,0,0,0,0,0,0,0,0,2.59,1.48,1.3,1.11,0.19,0.93,2.04,45.5,1.11,17.6,5.74,32.6,6.85,8.89,1.85,2.59,0.56,0,2.04,1.48,4.07,2.22,0,41.5,2.96,13.1,22.6,6.85,1.3,40.7,0.93,1.3,71.4,0.93,0,24.4,102.4,35.6,1.11,0,0.19,1.48,0.56,24.8,22.4,90.3,0.93,0.37,0,0,2.59,0.93,0,0.19,1.48,0,0,0,8.52,2.41,0.93,72.2
1165,Mateo Kova?i?,CRO,MF,Chelsea,Premier League,28,1994,8,3,442,4.9,0,1.22,0,0,0,0,25,0,0,0,62.4,72.9,85.7,1256.3,331.6,20.8,24.3,85.7,30.2,32.9,91.9,9.8,13.3,73.8,0.2,1.63,9.8,2.04,0.41,9.59,72.9,71.2,1.63,1.43,0.2,6.33,2.04,0.61,0,0,0,0,58.2,5.51,9.18,3.67,67.8,0.82,0.2,0,62.4,0,1.63,2.65,0.82,2.04,2.04,0,0,0,0,0,0.2,0.2,0,0,0,0,0,1.84,1.43,0.61,0.82,0.41,0,1.02,0,1.02,14.3,4.9,34.3,5.71,6.33,2.24,1.63,0,0,1.63,0.61,2.45,1.84,0,82.9,1.63,14.1,56.3,19.2,0.2,81.2,0.82,1.02,80,0.82,0.2,60.6,339.8,168.4,7.55,2.65,0.2,1.02,1.43,66.7,65.3,97.9,0.82,0.2,0,0,0.82,1.22,0,0.61,1.43,0,0,0,9.39,0.61,1.02,37.5
1166,Viktor Kovalenko,UKR,MF,Spezia,Serie A,26,1996,7,4,324,3.6,0,1.11,0,0,0,0,18.6,0.28,0,0,30.3,38.1,79.6,476.1,106.7,15,16.9,88.5,11.1,13.3,83.3,2.78,5.28,52.6,0,1.11,1.11,0.56,0,1.94,38.1,36.4,1.67,0.56,0,5,1.11,1.11,0.28,0,0,0.28,27.5,5,5.56,4.17,30,2.5,0.83,0,30.3,0,1.94,0.56,1.39,1.39,1.39,0,0,0,0,0,0,0,0,0,0,0,0,1.94,1.11,0.28,1.39,0.28,0.83,0.83,100,0,13.6,3.06,22.4,2.78,7.78,3.06,1.94,0.56,0,1.39,0.56,2.5,0.83,0,47.5,1.39,9.44,25.8,13.6,2.5,46.1,0.28,0.28,100,0.28,0,29.2,101.9,33.1,1.67,0.28,0.28,0.56,0.28,38.6,30.3,78.4,3.89,0.28,0,0,1.67,1.67,0.28,1.11,1.11,0,0,0,8.61,0.56,2.22,20
1167,Emil Krafth,SWE,DF,Newcastle Utd,Premier League,28,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,Alex Král,CZE,MF,Schalke 04,Bundesliga,24,1998,8,6,544,6,0,0.5,0,0,0,0,23.1,0,0,0,20,27,74.1,427.7,108.2,7,8.5,82.4,7.67,10.3,74.2,4.83,6.33,76.3,0,0.17,2.67,0,0,1.67,27,26.5,0.5,0.33,0,4,1.33,0.17,0,0,0,0,16.5,3,7.5,5.33,19,2,0,0,20,0,0.67,0.83,1.5,0.8,0.5,0,0,0.17,0,0,0.17,0.17,0,0,0,0,0,1.67,1.5,0.33,1.33,0,0.33,1.17,28.6,0.83,11.5,2.83,24.6,4.17,6.17,1.17,1.33,0.33,0,1,2.5,4.17,1.67,0,36,2.67,13,21.3,4.33,0.67,35.5,1,1.5,66.7,1.17,0,21,127,53.7,1.5,0.67,0,0.33,0.67,19.2,18.5,96.5,0.5,0.17,0,0,1,0.67,0.17,0.17,1.5,0,0,0,9.33,0.83,1.5,35.7
